loss,run_time,iteration,K,max_steps,delta,ndcg,window_hours
-0.0056899867672184044,0.9923174381256104,195,447.0,87.0,7302989.969548688,0.0056899867672184044,2028.6083248746356
-0.02006374645372082,23.317123651504517,196,479.0,89.0,625453871.6465982,0.02006374645372082,173737.1865684995
-0.020071071429741724,22.112386226654053,197,378.0,97.0,451457150.90667087,0.020071071429741724,125404.76414074191
-0.02012674452090553,22.742855310440063,198,724.0,60.0,520292141.2805541,0.02012674452090553,144525.59480015392
-0.01967744017741717,19.44052028656006,199,293.0,81.0,316496810.88098127,0.01967744017741717,87915.78080027258
-0.019409492545422305,15.73458981513977,200,315.0,93.0,179937623.036885,0.019409492545422305,49982.673065801384
-0.019700021081421663,19.39848566055298,201,430.0,34.0,381627071.6604983,0.019700021081421663,106007.51990569397
-0.01953209724175898,7.965521335601807,202,413.0,68.0,75553228.27459937,0.01953209724175898,20987.00785405538
-0.019065367338686717,14.16821026802063,203,259.0,8.0,282557948.4560252,0.019065367338686717,78488.31901556255
-0.01955708657124549,12.745677709579468,204,143.0,57.0,125116673.60276292,0.01955708657124549,34754.63155632303
-0.01744608801682513,6.459275722503662,205,334.0,99.0,60912217.48009418,0.01744608801682513,16920.06041113727
-0.016749705508301953,4.906017303466797,206,189.0,40.0,49449954.37138026,0.016749705508301953,13736.098436494518
-0.019433640861331924,17.12049126625061,207,390.0,85.0,221314000.41077805,0.019433640861331924,61476.111225216126
-0.01988937005986937,21.386197566986084,208,97.0,96.0,472682718.666181,0.01988937005986937,131300.75518505028
-0.019837339130810122,20.584678888320923,209,639.0,78.0,344880058.2824182,0.019837339130810122,95800.01618956061
-0.003408271112646325,0.7893674373626709,210,523.0,29.0,4311602.4329189705,0.003408271112646325,1197.6673424774917
-0.019248564227245635,16.798481702804565,211,953.0,92.0,193727523.7784099,0.019248564227245635,53813.2010495583
-0.02006591586969837,21.117814779281616,212,364.0,71.0,411843698.2767024,0.02006591586969837,114401.027299084
-0.020024207906140807,23.027092695236206,213,581.0,65.0,628625676.9928513,0.020024207906140807,174618.24360912535
-0.019641640816310885,18.344813108444214,214,609.0,94.0,253625943.98421988,0.019641640816310885,70451.65110672775
-0.005042199286994991,0.8368759155273438,215,486.0,90.0,6107349.707517661,0.005042199286994991,1696.486029866017
-0.014308940552310204,3.6441662311553955,216,462.0,18.0,37055373.45042466,0.014308940552310204,10293.159291784628
-0.019032702030284298,15.106219053268433,217,233.0,100.0,165666201.30108905,0.019032702030284298,46018.38925030251
-0.0200343957605957,23.434539794921875,218,506.0,87.0,535118546.7464165,0.0200343957605957,148644.04076289348
-0.019564665750746002,19.768871068954468,219,550.0,80.0,304671679.0884289,0.019564665750746002,84631.02196900803
-0.019456546981988433,10.86365795135498,220,282.0,83.0,96462426.1348488,0.019456546981988433,26795.118370791333
-0.019467127326597153,9.104758977890015,221,409.0,47.0,83857111.51721692,0.019467127326597153,23293.642088115812
-0.01913491185390964,12.369767665863037,222,206.0,15.0,137862583.24843135,0.01913491185390964,38295.162013453155
-0.01651652133019635,4.408285856246948,223,437.0,51.0,44331018.07309645,0.01651652133019635,12314.171686971235
-0.02014024979581531,23.3000226020813,224,340.0,98.0,629858013.2149365,0.02014024979581531,174960.55922637126
-0.019821912276974423,20.974741458892822,225,385.0,95.0,373847642.0261663,0.019821912276974423,103846.56722949064
-0.020046449568365765,21.181654453277588,226,320.0,76.0,423028582.065952,0.020046449568365765,117507.93946276445
-0.01962705010455454,12.681014776229858,227,659.0,74.0,116172922.52894896,0.01962705010455454,32270.25625804138
-0.009546737128707863,1.724757432937622,228,265.0,89.0,17403181.937484514,0.009546737128707863,4834.217204856809
-0.019995560322205258,22.715274572372437,229,307.0,85.0,540578701.2130673,0.019995560322205258,150160.75033696313
-0.020001514311282796,23.354907274246216,230,686.0,100.0,484457495.47495794,0.020001514311282796,134571.52652082164
